# index eigen f_xx f_xxx pxx_x pyy_x pzz_x pxy_x pxz_x pyz_x
71    1.06035     1.2302   0.112876 0.00104228 -6.49739e-05          0 0.00102609          0          0
72    1.08262     1.2474 -0.0689343 0.000674088 0.000246924          0 -0.00127315          0          0
73    1.09166    1.21471   0.578634 0.00083452 0.000145962          0 -0.00081445          0          0
74    1.09737    1.22105  -0.464641 -0.00206182 1.6061e-05          0 0.000129609          0          0
75    1.11681     1.2327 -0.0191958 -0.00160438 0.000399889          0 -0.000142735          0          0
76    1.13856    1.25937  -0.960115 -0.00250536 -0.000486526          0 4.82103e-05          0          0
77    1.15063    1.26383  -0.176189 0.000475317 -5.7071e-05          0 0.000619796          0          0
78    1.17701    1.28799   0.440969 0.000164662 -0.00069272          0 -0.000770888          0          0
79    1.19268    1.29863   -0.82271 -0.000447159 -0.000565745          0 0.000679978          0          0
80    1.20354    1.30983  0.0910731 0.00122052 -0.000193287          0 0.00112258          0          0
81    1.20708    1.21675   -7.36838 -0.000470759 -0.000945472          0 -0.00247149          0          0
82     1.2105    1.32235  0.0721901 -0.000319116 1.36236e-05          0 0.000369813          0          0
83    1.21868    1.35016   -0.18565 0.000194006 0.000233379          0 0.00109124          0          0
84    1.22858    1.33509 -0.0692512 -0.000367656 -0.000148848          0 0.000358353          0          0
85    1.23737    1.39344   0.254992 0.00246518 0.000284792          0 -0.000584848          0          0
86    1.26688    1.40837   0.592857 -0.0016457 0.00181442          0 0.000659225          0          0
87    1.27062    1.37762 -0.0274553 -0.000607943 0.00221746          0 0.000948135          0          0
88    1.27555    1.39502  -0.708119 -0.0004539 -5.30777e-05          0 0.000932071          0          0
89    1.30364    1.43313  -0.168908 0.000401625 -0.00165661          0 -0.000551583          0          0
90    1.30743    1.44486   0.015854 0.00151851 -0.00110856          0 -0.000117725          0          0
91    1.33099    1.43619 -0.0133051 0.00112438 0.000193728          0 -0.00183831          0          0
92    1.34163    1.47503   -1.04106 0.00118182 0.000275935          0 0.000864683          0          0
93    1.37558    1.49772   -0.30033 -0.00112567 -0.00117522          0 -0.000549578          0          0
94    1.38027    1.47742   0.370364 0.00058343 -0.000698685          0 -0.000124398          0          0
95    1.40818    1.53956  -0.232929 0.000226631 0.00165118          0 -0.000414512          0          0
96    1.40993     1.5131    1.22216 -0.000275884 0.00127293          0 -0.000998357          0          0
97    1.43109    1.59153   -0.50294 -0.0024673 0.00130973          0 -0.00222053          0          0
98     1.4374    1.57118   0.109733 0.00187286 -0.00149033          0 1.40839e-05          0          0
99    1.46288    1.58351  -0.193321 -0.00154696 0.000757773          0  0.0010329          0          0
100    1.46972     1.6097   0.195192 0.000432547 0.00164127          0 -0.00138535          0          0
101    1.49625    1.65539  -0.305452 -0.000518547 -9.97747e-05          0 -0.000474129          0          0
102    1.51056    1.64692  -0.280858 -0.00211817 -0.000856977          0 -0.00038565          0          0
103    1.51712    1.62484 -0.0279004 -0.00044286 0.00119064          0 -0.00224064          0          0
104    1.53728    1.65617  -0.130781 0.000443776 0.000178274          0 0.000750487          0          0
105    1.54964    1.66983  -0.104393 0.000916064 0.000556573          0 -0.00124027          0          0
106    1.56233    1.69622   0.488326 -8.48002e-05 -0.000585956          0 -8.15406e-05          0          0
107    1.57033    1.71993   0.448103 0.000937743 0.000604784          0 -0.00190668          0          0
108    1.59579    1.70001  -0.186742 -0.00268294 0.000709135          0 -0.000547379          0          0
109    1.61486    1.70425  0.0960049 -0.000952639 0.000875471          0 -0.000687617          0          0
110    1.61863    1.71266   0.287006 0.000348764 0.00132853          0 -0.00270507          0          0
111     1.6316    1.77664 -0.000939704 -0.000720311 0.000354406          0 -0.00106669          0          0
112    1.64756    1.78617  -0.302269 0.000263291 -0.00188904          0 -0.00107807          0          0
113    1.65515    1.77111 -0.0816437 0.000137855 -0.000207308          0 0.000756462          0          0
114    1.69011    1.80576  -0.130308 0.000864608 -0.000511654          0 -0.000508609          0          0
115    1.69545    1.80178 -0.0559132 0.00066161 0.00136982          0 0.000368183          0          0
116    1.71518    1.83111   0.348484 0.000677022  -0.001407          0 -0.000392786          0          0
117    1.71611    1.87571   0.203022 0.00165502 -0.00120037          0 -0.000825766          0          0
118    1.73622    1.84742   0.147177 -0.000790089 0.00142725          0 0.000454419          0          0
119    1.75039    1.86706  0.0554667 0.00254915 -0.00208437          0 -0.000319594          0          0
120    1.75931    1.90713  0.0810798 -0.000338705 -0.00205652          0 -0.0017255          0          0
121    1.77862     1.8685   0.142235 -0.000592142 0.000597682          0 -2.32668e-05          0          0
122    1.79287    1.88004 -0.0780935 -0.000640642 -0.000168737          0 0.00111546          0          0
123    1.82079    1.92962 -0.0834281 0.000956663 -0.000513691          0 -0.000786932          0          0
124    1.83925    1.93473   0.233764 -0.00151397 0.00194616          0 -0.00192592          0          0
125    1.86049    1.99283 0.00604347 0.000783011 -0.000799288          0 -0.00166116          0          0
126     1.8655    1.98503  -0.104475 -0.00055904 -0.00134833          0 0.000401703          0          0
127    1.88725    2.03688  0.0389767 -0.000871706 0.000856208          0 0.00298668          0          0
128    1.91282    2.03667  -0.100671 0.00057244 0.000211798          0 -0.00149424          0          0
129    1.92603     2.0333   -0.14306 -0.000115771 0.000584088          0 0.00204565          0          0
130    1.93187    2.05702  0.0092932 0.00136708 0.00140084          0 0.00102741          0          0
131    1.96029    2.06591   0.158078 0.000583391 7.43757e-05          0 0.00149449          0          0
132    1.96875     2.1005   0.133634 -0.0013475 -0.000788831          0 -7.34122e-05          0          0
133    1.98256    2.09878 -0.00662403 5.34819e-05 0.000687998          0 0.00346347          0          0
134    1.98412     2.1022   0.331808 -4.77043e-05 0.000960944          0 -0.0020662          0          0
135    2.01741    2.16972 -0.0821404 -0.00173852 0.00203926          0 0.000509157          0          0
136    2.02687    2.17424   0.214932 -4.4088e-05 -7.54776e-05          0 0.000276494          0          0
137    2.05225    2.19836  0.0674004 1.03605e-05 0.00116329          0 0.000764302          0          0
138    2.06564    2.19585  0.0653539 -0.000202749 -0.000438609          0 -0.000415274          0          0
139    2.07659    2.21597  0.0373118 -0.000524987 -0.00209308          0 -0.000893667          0          0
140    2.10356    2.21161  0.0322383 -0.000320016 0.00022905          0 0.00116655          0          0
141    2.10833    2.21801 -0.0671892 -0.000261676 0.00209962          0 0.00263931          0          0
142    2.12397    2.23925  0.0521366 0.00158854 0.00027153          0 0.000607446          0          0
143      2.139    2.24036     -1.117 0.00184266 -0.00100114          0 0.000420708          0          0
144    2.15071      2.269 -0.0908657 -0.00216055  0.0014891          0 0.000492734          0          0
145    2.16365    2.28293  0.0816467 -0.00142043 0.000776506          0  0.0011053          0          0
146    2.18076    2.32434 -0.0315822  0.0010297 -0.00126779          0 -0.00162037          0          0
147    2.19642    2.32378  0.0917949 0.00208577 -0.00325432          0 -0.00019871          0          0
148    2.22095    2.32274   0.223976 -0.000871251 -0.000912135          0 -0.00324819          0          0
149    2.22688    2.38129  0.0584892 -0.00105304 0.00078339          0 0.00169224          0          0
150    2.25948    2.38617   0.150684 -0.00310039 0.00222076          0 -0.000396757          0          0
151    2.27549    2.41174 -0.0325218 -0.00171339 0.000531247          0 -0.000971763          0          0
152     2.2782    2.38737   0.294902 0.00161531 -0.00208532          0 -0.00104561          0          0
153    2.28756    2.44199  0.0339649 0.000969707 0.00134054          0 0.00109567          0          0
154    2.29413    2.40616   0.159893 0.000792892 0.00113146          0 -0.000303307          0          0
155    2.31371    2.46371  -0.106832 -0.00176667 0.00129545          0 -0.00158432          0          0
156    2.33886    2.49833 -0.000977539 2.35352e-05 -0.000605883          0 -1.43911e-05          0          0
157    2.34387    2.44269   0.022104 0.000890875 -0.000492037          0 -0.000618542          0          0
